LOOPID,HHMMSS,YYYYMMDD,has_data,scan_count,flag,volume
1,0,20111025,1,0,0,0
1,20,20111025,1,0,0,0
1,40,20111025,1,0,0,0
1,100,20111025,1,21,0,2
1,120,20111025,1,12,0,1
1,140,20111025,1,0,0,0
1,200,20111025,1,0,0,0
1,220,20111025,1,78,0,2
1,240,20111025,1,0,0,0
1,300,20111025,1,0,0,0
1,320,20111025,1,54,0,1
1,340,20111025,1,9,0,1
1,400,20111025,1,24,0,2
1,420,20111025,1,0,0,0
1,440,20111025,1,11,0,0
1,500,20111025,1,64,0,2
1,520,20111025,1,75,0,2
1,540,20111025,1,18,0,1
1,600,20111025,1,96,0,3
1,620,20111025,1,15,0,1
1,640,20111025,1,24,0,1
1,700,20111025,1,15,0,1
1,720,20111025,1,36,0,3
1,740,20111025,1,0,0,0
1,800,20111025,1,0,0,0
1,820,20111025,1,44,0,1
1,840,20111025,1,34,0,1
1,900,20111025,1,60,0,3
1,920,20111025,1,18,0,1
1,940,20111025,1,0,0,0
1,1000,20111025,1,18,0,1
1,1020,20111025,1,18,0,2
1,1040,20111025,1,0,0,0
1,1100,20111025,1,120,0,3
1,1120,20111025,1,48,0,1
1,1140,20111025,1,39,0,2
1,1200,20111025,1,33,0,2
1,1220,20111025,1,0,0,0
1,1240,20111025,1,21,0,2
1,1300,20111025,1,75,0,2
1,1320,20111025,1,0,0,0
1,1340,20111025,1,36,0,2
1,1400,20111025,1,30,0,1
1,1420,20111025,1,0,0,0
1,1440,20111025,1,81,0,3
1,1500,20111025,1,93,0,3
1,1520,20111025,1,0,0,0
1,1540,20111025,1,57,0,2
1,1600,20111025,1,0,0,0
1,1620,20111025,1,27,0,1
1,1640,20111025,1,45,0,3
1,1700,20111025,1,15,0,1
1,1720,20111025,1,144,0,4
1,1740,20111025,1,0,0,0
1,1800,20111025,1,24,0,2
1,1820,20111025,1,27,0,1
1,1840,20111025,1,57,0,1
1,1900,20111025,1,0,0,0
1,1920,20111025,1,12,0,1
1,1940,20111025,1,21,0,2
1,2000,20111025,1,12,0,1
1,2020,20111025,1,42,0,2
1,2040,20111025,1,0,0,0
1,2100,20111025,1,0,0,0
1,2120,20111025,1,0,0,0
1,2140,20111025,1,36,0,2
1,2200,20111025,1,18,0,1
1,2220,20111025,1,36,0,1
1,2240,20111025,1,12,0,1
1,2300,20111025,1,0,0,0
1,2320,20111025,1,0,0,0
1,2340,20111025,1,69,0,2
1,2400,20111025,1,39,0,2
1,2420,20111025,1,12,0,1
1,2440,20111025,1,0,0,0
1,2500,20111025,1,35,0,2
1,2520,20111025,1,29,0,1
1,2540,20111025,1,0,0,0
1,2600,20111025,1,57,0,1
1,2620,20111025,1,0,0,0
1,2640,20111025,1,0,0,0
1,2700,20111025,1,0,0,0
1,2720,20111025,1,0,0,0
1,2740,20111025,1,15,0,1
1,2800,20111025,1,0,0,0
1,2820,20111025,1,66,0,2
1,2840,20111025,1,54,0,1
1,2900,20111025,1,0,0,0
1,2920,20111025,1,0,0,0
1,2940,20111025,1,0,0,0
1,3000,20111025,1,24,0,2
1,3020,20111025,1,84,0,3
1,3040,20111025,1,51,0,1
1,3100,20111025,1,81,0,2
1,3120,20111025,1,0,0,0
1,3140,20111025,1,0,0,0
1,3200,20111025,1,11,0,1
1,3220,20111025,1,12,0,1
1,3240,20111025,1,24,0,2
1,3300,20111025,1,57,0,1
1,3320,20111025,1,0,0,0
1,3340,20111025,1,0,0,0
1,3400,20111025,1,57,0,1
1,3420,20111025,1,66,0,1
1,3440,20111025,1,15,0,1
1,3500,20111025,1,60,0,1
1,3520,20111025,1,33,0,1
1,3540,20111025,1,0,0,0
1,3600,20111025,1,0,0,0
1,3620,20111025,1,105,0,2
1,3640,20111025,1,0,0,0
1,3700,20111025,1,60,0,2
1,3720,20111025,1,0,0,0
1,3740,20111025,1,0,0,0
1,3800,20111025,1,12,0,1
1,3820,20111025,1,54,0,1
1,3840,20111025,1,0,0,0
1,3900,20111025,1,12,0,1
1,3920,20111025,1,39,0,3
1,3940,20111025,1,87,0,3
1,4000,20111025,1,0,0,0
1,4020,20111025,1,0,0,0
1,4040,20111025,1,0,0,0
1,4100,20111025,1,0,0,0
1,4120,20111025,1,0,0,0
1,4140,20111025,1,0,0,0
1,4200,20111025,1,0,0,0
1,4220,20111025,1,48,0,1
1,4240,20111025,1,48,0,1
1,4300,20111025,1,12,0,1
1,4320,20111025,1,24,0,2
1,4340,20111025,1,0,0,0
1,4400,20111025,1,54,0,1
1,4420,20111025,1,50,0,1
1,4440,20111025,1,90,0,3
1,4500,20111025,1,0,0,0
1,4520,20111025,1,30,0,2
1,4540,20111025,1,15,0,2
1,4600,20111025,1,108,0,2
1,4620,20111025,1,0,0,0
1,4640,20111025,1,12,0,1
1,4700,20111025,1,0,0,0
1,4720,20111025,1,39,0,2
1,4740,20111025,1,0,0,0
1,4800,20111025,1,0,0,0
1,4820,20111025,1,12,0,1
1,4840,20111025,1,39,0,2
1,4900,20111025,1,0,0,0
1,4920,20111025,1,0,0,0
1,4940,20111025,1,36,0,1
1,5000,20111025,1,0,0,0
1,5020,20111025,1,12,0,1
1,5040,20111025,1,78,0,2
1,5100,20111025,1,60,0,2
1,5120,20111025,1,30,0,1
1,5140,20111025,1,60,0,1
1,5200,20111025,1,117,0,3
1,5220,20111025,1,51,0,1
1,5240,20111025,1,54,0,1
1,5300,20111025,1,53,0,1
1,5320,20111025,1,69,3,1
1,5340,20111025,1,12,0,1
1,5400,20111025,1,0,0,0
1,5420,20111025,1,57,0,1
1,5440,20111025,1,51,0,1
1,5500,20111025,1,0,0,0
1,5520,20111025,1,0,0,0
1,5540,20111025,1,57,0,1
1,5600,20111025,1,0,0,0
1,5620,20111025,1,0,0,0
1,5640,20111025,1,48,0,1
1,5700,20111025,1,12,0,1
1,5720,20111025,1,51,0,1
1,5740,20111025,1,42,0,0
1,5800,20111025,1,18,0,1
1,5820,20111025,1,84,0,3
1,5840,20111025,1,0,0,0
1,5900,20111025,1,0,0,0
1,5920,20111025,1,57,0,1
1,5940,20111025,1,0,0,0
1,10000,20111025,1,9,0,1
1,10020,20111025,1,33,0,1
1,10040,20111025,1,33,0,1
1,10100,20111025,1,0,0,0
1,10120,20111025,1,0,0,0
1,10140,20111025,1,12,0,1
1,10200,20111025,1,63,0,1
1,10220,20111025,1,18,0,2
1,10240,20111025,1,0,0,0
1,10300,20111025,1,0,0,0
1,10320,20111025,1,0,0,0
1,10340,20111025,1,0,0,0
1,10400,20111025,1,12,0,1
1,10420,20111025,1,66,0,2
1,10440,20111025,1,0,0,0
1,10500,20111025,1,12,0,1
1,10520,20111025,1,0,0,0
1,10540,20111025,1,0,0,0
1,10600,20111025,1,0,0,0
1,10620,20111025,1,0,0,0
1,10640,20111025,1,0,0,0
1,10700,20111025,1,12,0,1
1,10720,20111025,1,24,0,2
1,10740,20111025,1,0,0,0
1,10800,20111025,1,18,0,1
1,10820,20111025,1,0,0,0
1,10840,20111025,1,21,0,1
1,10900,20111025,1,51,0,1
1,10920,20111025,1,21,0,2
1,10940,20111025,1,48,0,1
1,11000,20111025,1,33,0,1
1,11020,20111025,1,18,0,1
1,11040,20111025,1,90,0,2
1,11100,20111025,1,27,0,1
1,11120,20111025,1,9,0,1
1,11140,20111025,1,0,0,0
1,11200,20111025,1,102,0,2
1,11220,20111025,1,9,0,1
1,11240,20111025,1,24,0,1
1,11300,20111025,1,36,0,2
1,11320,20111025,1,12,0,1
1,11340,20111025,1,159,0,3
1,11400,20111025,1,51,0,1
1,11420,20111025,1,0,0,0
1,11440,20111025,1,0,0,0
1,11500,20111025,1,0,0,0
1,11520,20111025,1,15,0,1
1,11540,20111025,1,0,0,0
1,11600,20111025,1,0,0,0
1,11620,20111025,1,0,0,0
1,11640,20111025,1,113,0,2
1,11700,20111025,1,49,0,1
1,11720,20111025,1,0,0,0
1,11740,20111025,1,9,0,1
1,11800,20111025,1,0,0,0
1,11820,20111025,1,57,0,1
1,11840,20111025,1,72,3,1
1,11900,20111025,1,12,0,1
1,11920,20111025,1,12,0,1
1,11940,20111025,1,63,0,1
1,12000,20111025,1,57,0,3
1,12020,20111025,1,36,0,2
1,12040,20111025,1,15,0,1
1,12100,20111025,1,87,0,2
1,12120,20111025,1,0,0,0
1,12140,20111025,1,66,0,1
1,12200,20111025,1,0,0,0
1,12220,20111025,1,12,0,1
1,12240,20111025,1,12,0,1
1,12300,20111025,1,54,0,1
1,12320,20111025,1,0,0,0
1,12340,20111025,1,9,0,1
1,12400,20111025,1,42,0,1
1,12420,20111025,1,0,0,0
1,12440,20111025,1,36,0,1
1,12500,20111025,1,51,0,1
1,12520,20111025,1,0,0,0
1,12540,20111025,1,0,0,0
1,12600,20111025,1,0,0,0
1,12620,20111025,1,51,0,1
1,12640,20111025,1,15,0,1
1,12700,20111025,1,60,0,1
1,12720,20111025,1,15,0,1
1,12740,20111025,1,54,0,1
1,12800,20111025,1,0,0,0
1,12820,20111025,1,21,0,2
1,12840,20111025,1,21,0,1
1,12900,20111025,1,0,0,0
1,12920,20111025,1,12,0,1
1,12940,20111025,1,12,0,1
1,13000,20111025,1,60,0,1
1,13020,20111025,1,12,0,1
1,13040,20111025,1,10,0,0
1,13100,20111025,1,20,0,2
1,13120,20111025,1,95,0,2
1,13140,20111025,1,0,0,0
1,13200,20111025,1,33,0,2
1,13220,20111025,1,0,0,0
1,13240,20111025,1,0,0,0
1,13300,20111025,1,0,0,0
1,13320,20111025,1,15,0,1
1,13340,20111025,1,63,0,1
1,13400,20111025,1,66,0,4
1,13420,20111025,1,0,0,0
1,13440,20111025,1,12,0,1
1,13500,20111025,1,27,0,1
1,13520,20111025,1,11,0,1
1,13540,20111025,1,0,0,0
1,13600,20111025,1,57,0,1
1,13620,20111025,1,78,0,2
1,13640,20111025,1,0,0,0
1,13700,20111025,1,0,0,0
1,13720,20111025,1,33,0,2
1,13740,20111025,1,27,0,1
1,13800,20111025,1,10,0,0
1,13820,20111025,1,23,0,2
1,13840,20111025,1,14,0,1
1,13900,20111025,1,0,0,0
1,13920,20111025,1,12,0,1
1,13940,20111025,1,75,0,2
1,14000,20111025,1,57,0,1
1,14020,20111025,1,9,0,1
1,14040,20111025,1,66,0,1
1,14100,20111025,1,9,0,1
1,14120,20111025,1,0,0,0
1,14140,20111025,1,0,0,0
1,14200,20111025,1,0,0,0
1,14220,20111025,1,12,0,1
1,14240,20111025,1,12,0,1
1,14300,20111025,1,36,0,3
1,14320,20111025,1,0,0,0
1,14340,20111025,1,0,0,0
1,14400,20111025,1,11,0,1
1,14420,20111025,1,0,0,0
1,14440,20111025,1,78,0,4
1,14500,20111025,1,24,0,2
1,14520,20111025,1,0,0,0
1,14540,20111025,1,42,0,2
1,14600,20111025,1,15,0,1
1,14620,20111025,1,72,0,2
1,14640,20111025,1,12,0,1
1,14700,20111025,1,0,0,0
1,14720,20111025,1,72,0,2
1,14740,20111025,1,63,0,2
1,14800,20111025,1,78,0,4
1,14820,20111025,1,48,0,2
1,14840,20111025,1,15,0,1
1,14900,20111025,1,12,0,1
1,14920,20111025,1,12,0,1
1,14940,20111025,1,81,0,2
1,15000,20111025,1,9,0,1
1,15020,20111025,1,0,0,0
1,15040,20111025,1,0,0,0
1,15100,20111025,1,0,0,0
1,15120,20111025,1,96,0,3
1,15140,20111025,1,39,0,2
1,15200,20111025,1,0,0,0
1,15220,20111025,1,39,0,3
1,15240,20111025,1,9,0,1
1,15300,20111025,1,0,0,0
1,15320,20111025,1,0,0,0
1,15340,20111025,1,24,0,2
1,15400,20111025,1,60,0,2
1,15420,20111025,1,54,0,1
1,15440,20111025,1,11,0,1
1,15500,20111025,1,12,0,1
1,15520,20111025,1,0,0,0
1,15540,20111025,1,69,0,2
1,15600,20111025,1,0,0,0
1,15620,20111025,1,60,0,2
1,15640,20111025,1,0,0,0
1,15700,20111025,1,0,0,0
1,15720,20111025,1,0,0,0
1,15740,20111025,1,12,0,1
1,15800,20111025,1,63,0,1
1,15820,20111025,1,0,0,0
1,15840,20111025,1,27,0,1
1,15900,20111025,1,0,0,0
1,15920,20111025,1,0,0,0
1,15940,20111025,1,63,0,2
1,20000,20111025,1,0,0,0
1,20020,20111025,1,15,0,1
1,20040,20111025,1,0,0,0
1,20100,20111025,1,17,0,1
1,20120,20111025,1,0,0,0
1,20140,20111025,1,84,0,3
1,20200,20111025,1,12,0,1
1,20220,20111025,1,0,0,0
1,20240,20111025,1,0,0,0
1,20300,20111025,1,0,0,0
1,20320,20111025,1,12,0,1
1,20340,20111025,1,63,0,1
1,20400,20111025,1,0,0,0
1,20420,20111025,1,54,0,1
1,20440,20111025,1,0,0,0
1,20500,20111025,1,0,0,0
1,20520,20111025,1,69,3,1
1,20540,20111025,1,12,0,1
1,20600,20111025,1,0,0,0
1,20620,20111025,1,0,0,0
1,20640,20111025,1,0,0,0
1,20700,20111025,1,0,0,0
1,20720,20111025,1,24,0,1
1,20740,20111025,1,11,0,1
1,20800,20111025,1,0,0,0
1,20820,20111025,1,0,0,0
1,20840,20111025,1,33,0,1
1,20900,20111025,1,54,0,2
1,20920,20111025,1,12,0,1
1,20940,20111025,1,39,0,1
1,21000,20111025,1,0,0,0
1,21020,20111025,1,0,0,0
1,21040,20111025,1,120,0,2
1,21100,20111025,1,12,0,1
